http://iancheng.com/,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
https://www.ribbonfarm.com/2009/09/17/your-evil-twins-and-how-to-find-them/,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
https://twitter.com/vgr/status/698376592704143360,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
https://www.ribbonfarm.com/2015/12/01/can-you-hear-me-now/,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
https://twitter.com/vgr/status/770076446526173184,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
https://www.ribbonfarm.com/2014/06/25/portals-and-flags/,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
https://www.ribbonfarm.com/2015/01/16/on-the-design-of-escaped-realities/,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
https://www.youtube.com/watch?v=z6TmhHAsvwg,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
https://twitter.com/vgr/status/1097998208385445889,Worlding Raga: 1,Venkatesh Rao,"February 21, 2019"
http://philosophyofbrains.com/author/clarka,Predictable Identities: 1,Jacob Falkovich,"February 20, 2019"
https://slatestarcodex.com/2017/09/05/book-review-surfing-uncertainty/,Predictable Identities: 1,Jacob Falkovich,"February 20, 2019"
https://www.google.com/search?q=trailmeme&oq=trailmeme&aqs=chrome..69i57j0j69i65.2043j0j9&sourceid=chrome&ie=UTF-8,Elderblog Sutra: 4,Venkatesh Rao,"February 19, 2019"
http://nifty.stanford.edu/2014/mccown-schelling-model-segregation/,Weirding Diary: 4,Venkatesh Rao,"February 18, 2019"
https://www.theguardian.com/business/2016/jun/08/mcdonalds-community-centers-us-physical-social-networks,Weirding Diary: 4,Venkatesh Rao,"February 18, 2019"
https://www.ribbonfarm.com/2011/01/06/the-gollum-effect/,Weirding Diary: 4,Venkatesh Rao,"February 18, 2019"
https://www.ribbonfarm.com/2012/09/27/cloud-mouse-metro-mouse/,Weirding Diary: 4,Venkatesh Rao,"February 18, 2019"
https://ribbonfarm.teachable.com/p/breaking-smart-season-1/,Breaking Smart Season 1 Online Workshop,Venkatesh Rao,"February 14, 2019"
https://breakingsmart.com/en/season-1/,Breaking Smart Season 1 Online Workshop,Venkatesh Rao,"February 14, 2019"
https://breakingsmart.com/en/season-2/season-2-newsletter-archive/,Breaking Smart Season 1 Online Workshop,Venkatesh Rao,"February 14, 2019"
https://www.ribbonfarm.com/contact/,Breaking Smart Season 1 Online Workshop,Venkatesh Rao,"February 14, 2019"
https://ribbonfarm.teachable.com/p/breaking-smart-season-1/,Breaking Smart Season 1 Online Workshop,Venkatesh Rao,"February 14, 2019"
https://ribbonfarm.teachable.com/p/the-art-of-longform,Breaking Smart Season 1 Online Workshop,Venkatesh Rao,"February 14, 2019"
http://webcomicname.com/,Mediocratopia: 2,Venkatesh Rao,"February 12, 2019"
https://www.ribbonfarm.com/2009/07/01/the-rhetoric-of-the-hyperlink/,Elderblog Sutra: 3,Venkatesh Rao,"February 11, 2019"
https://www.ribbonfarm.com/2016/11/10/king-ruinous-and-the-city-of-darkness/,Elderblog Sutra: 3,Venkatesh Rao,"February 11, 2019"
https://twitter.com/araskin/status/1092971814093959168,Mediocratopia: 1,Venkatesh Rao,"February 8, 2019"
https://www.ribbonfarm.com/the-gervais-principle/,Mediocratopia: 1,Venkatesh Rao,"February 8, 2019"
https://www.ribbonfarm.com/2011/08/19/the-calculus-of-grit/,Mediocratopia: 1,Venkatesh Rao,"February 8, 2019"
https://www.gapingvoid.com/blog/2018/10/09/how-you-strive-for-excellence/tulane-allergic-to-mediocrity/,Mediocratopia: 1,Venkatesh Rao,"February 8, 2019"
https://www.gapingvoid.com/blog/2018/10/09/how-you-strive-for-excellence/tulane-allergic-to-mediocrity/,Mediocratopia: 1,Venkatesh Rao,"February 8, 2019"
https://www.ribbonfarm.com/2015/03/12/the-art-of-agile-leadership/,Mediocratopia: 1,Venkatesh Rao,"February 8, 2019"
https://twitter.com/vgr/status/1027604793101959168,Weirding Diary: 3,Venkatesh Rao,"February 4, 2019"
https://www.ribbonfarm.com/2015/01/16/on-the-design-of-escaped-realities/,Weirding Diary: 3,Venkatesh Rao,"February 4, 2019"
https://twitter.com/careid0,Elderblog Sutra: 1,Venkatesh Rao,"January 31, 2019"
https://www.ribbonfarm.com/2018/03/29/the-key-to-act-two/,Elderblog Sutra: 1,Venkatesh Rao,"January 31, 2019"
https://amzn.to/2Wqwsho,Elderblog Sutra: 1,Venkatesh Rao,"January 31, 2019"
https://amzn.to/2MFDiLu,Elderblog Sutra: 1,Venkatesh Rao,"January 31, 2019"
https://www.poets.org/poetsorg/poem/do-not-go-gentle-good-night,Elderblog Sutra: 1,Venkatesh Rao,"January 31, 2019"
https://www.ribbonfarm.com/2012/11/19/notes-on-spatial-metaphors-for-social-systems/,Weirding Diary: 2,Venkatesh Rao,"January 30, 2019"
https://twitter.com/vgr/status/1087463623922835456,Weirding Diary: 1,Venkatesh Rao,"January 24, 2019"
https://twitter.com/vgr/status/1087463623922835456,Weirding Diary: 1,Venkatesh Rao,"January 24, 2019"
http://harmful.cat-v.org/people/basic-laws-of-human-stupidity/,Stack Luck,Venkatesh Rao,"January 17, 2019"
https://www.ribbonfarm.com/2018/10/18/unflattening-hobbes/,Stack Luck,Venkatesh Rao,"January 17, 2019"
https://www.ribbonfarm.com/2018/11/21/the-age-of-early-divinity/,Stack Luck,Venkatesh Rao,"January 17, 2019"
https://www.ribbonfarm.com/2018/09/11/think-entangled-act-spooky/,Stack Luck,Venkatesh Rao,"January 17, 2019"
https://lifehacker.com/5992332/if-youre-offered-a-seat-on-a-rocket-ship-you-dont-ask-what-seat-you-just-get-on,Stack Luck,Venkatesh Rao,"January 17, 2019"
https://en.wikipedia.org/wiki/Spherical_cow,Remembering Pierre Kabamba,Venkatesh Rao,"January 10, 2019"
http://www.emis.de/journals/HOA/MPE/Volume8_1/67.html,Remembering Pierre Kabamba,Venkatesh Rao,"January 10, 2019"
https://ieeexplore.ieee.org/document/1104711,Remembering Pierre Kabamba,Venkatesh Rao,"January 10, 2019"
http://johnsalvatier.org/blog/2017/reality-has-a-surprising-amount-of-detail,Remembering Pierre Kabamba,Venkatesh Rao,"January 10, 2019"
https://en.wikipedia.org/wiki/Sturm_und_Drang,Remembering Pierre Kabamba,Venkatesh Rao,"January 10, 2019"
https://www.researchgate.net/publication/220104182_The_von_Neumann_threshold_of_self-reproducing_systems_theory_and_application,Remembering Pierre Kabamba,Venkatesh Rao,"January 10, 2019"
https://twitter.com/alex_parker/status/1077986070128668674?s=21,Happy 2019,Venkatesh Rao,"January 3, 2019"
https://www.ribbonfarm.com/2015/07/01/a-neptune-kid-waiting-to-always-already-know-pluto/,Happy 2019,Venkatesh Rao,"January 3, 2019"
https://www.ribbonfarm.com/2017/12/21/complete-2017-roundup/,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
https://www.ribbonfarm.com/2016/12/30/complete-2016-roundup/,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
https://www.ribbonfarm.com/2015/12/23/complete-2015-roundup/,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
https://www.ribbonfarm.com/2014/12/22/complete-2014-roundup/,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
https://www.ribbonfarm.com/2013/12/23/complete-2013-roundup/,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
https://www.ribbonfarm.com/for-new-readers/,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
https://www.ribbonfarm.com/the-rust-age/,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
https://ribbonfarm.teachable.com/p/the-art-of-longform,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
http://refactorcamp.org,Complete 2018 Roundup,Venkatesh Rao,"December 26, 2018"
http://foolproof.ink/,Refactorings Roundup 11/13/18 – 12/08/18,Editor,"December 12, 2018"
https://en.m.wikipedia.org/wiki/Eidetic_reduction,“Something Runs Through The Whole Thread”,Sarah Perry,"December 7, 2018"
https://206hwf3fj4w52u3br03fi242-wpengine.netdna-ssl.com/wp-content/uploads/2018/12/85CE7E12-3C25-4832-9ED3-3BCFBDE610AA.jpeg,“Something Runs Through The Whole Thread”,Sarah Perry,"December 7, 2018"
https://206hwf3fj4w52u3br03fi242-wpengine.netdna-ssl.com/wp-content/uploads/2018/12/67C1209E-4025-4592-A468-3985C648A6EB.jpeg,“Something Runs Through The Whole Thread”,Sarah Perry,"December 7, 2018"
https://206hwf3fj4w52u3br03fi242-wpengine.netdna-ssl.com/wp-content/uploads/2018/12/7B57D02C-8309-4E5C-BF3A-64653942C0D0.jpeg,“Something Runs Through The Whole Thread”,Sarah Perry,"December 7, 2018"
https://www.quora.com/Why-does-twisted-wire-have-more-strength-when-compared-with-non-twisted-wire,“Something Runs Through The Whole Thread”,Sarah Perry,"December 7, 2018"
